Censos de Población y Viviendas 2011. Viviendas. Resultados Municipales. Principales resultados,,,,,,,,,,
Nacional,,,,,,,,,,
,,,,,,,,,,
Viviendas por municipios (con más de 2.000 habitantes) y tipo de vivienda,,,,,,,,,,
Unidades: viviendas,,,,,,,,,,
,,,,,,,,,,
 ,1 Total viviendas (2+3),2.1 Total viviendas principales (2.11+2.12),2.21 Viviendas secundarias,2.22 Viviendas vacias,3 Total viviendas colectivas,,,,,
31032  Arguedas,"1,223",915,58,250,0,,,,,
38005  Arico,"5,916","2,904","2,185",826,1,,,,,
23006  Arjona,"2,978","2,188",434,355,1,,,,,
23007  Arjonilla,"2,028","1,432",324,270,1,,,,,
18021  Armilla,"10,497","8,313",571,"1,609",4,,,,,
26018  Arnedo,"7,054","5,625",390,"1,036",3,,,,,
39006  Arnuero,"2,776",847,"1,607",322,0,,,,,
21008  Aroche,"1,866","1,215",102,549,0,,,,,
38006  Arona,"44,537","31,417","7,897","5,218",5,,,,,
20055  Arrasate/Mondragón,"9,986","8,728",200,"1,053",5,,,,,
35004  Arrecife,"23,224","20,183",291,"2,742",8,,,,,
29020  Arriate,"2,111","1,436",308,366,1,,,,,
48011  Arrigorriaga,"5,260","4,720",113,424,3,,,,,
47010  Arroyo de la Encomienda,"9,059","6,365",394,"2,298",2,,,,,
10021  Arroyo de la Luz,"3,762","2,272",705,784,1,,,,,
06012  Arroyo de San Serván,"1,729","1,441",105,182,1,,,,,
23905  Arroyo del Ojanco,"1,206","1,017",138,51,0,,,,,
28015  Arroyomolinos,"10,043","7,813",196,"2,034",0,,,,,
07006  Artà,"4,423","2,920",582,917,5,,,,,
15005  Arteixo,"17,658","11,930","1,809","3,918",1,,,,,
08010  Artés,"2,637","2,093",45,497,2,,,,,
25034  Artesa de Segre,"2,604","1,418",572,613,1,,,,,
35006  Arucas,"16,291","12,975",847,"2,463",5,,,,,
15006  Arzúa,"3,616","2,270",658,686,1,,,,,
03019  Aspe,"10,234","7,453",946,"1,834",1,,,,,
20903  Astigarraga,"2,206","1,871",49,286,0,,,,,
"39008  Astillero, El","8,562","7,230",307,"1,021",4,,,,,
24008  Astorga,"7,279","4,595","1,009","1,665",10,,,,,
18022  Atarfe,"9,132","6,084",460,"2,587",1,,,,,
50038  Ateca,"1,262",805,285,172,0,,,,,
26021  Autol,"2,360","1,705",202,451,2,,,,,
08011  Avià,"1,176",862,67,247,0,,,,,
05019  Ávila,"34,487","22,770","3,506","8,189",22,,,,,
33004  Avilés,"41,348","35,805","1,352","4,181",10,,,,,
08012  Avinyó,"1,129",873,45,210,1,,,,,
32004  Avión,"2,140","1,017",468,655,0,,,,,
01010  Ayala/Aiara,"1,312","1,071",57,183,1,,,,,
21010  Ayamonte,"15,879","7,948","5,811","2,118",2,,,,,
46044  Ayora,"3,250","2,093",396,761,0,,,,,
31042  Azagra,"1,655","1,320",140,195,0,,,,,
20017  Azkoitia,"5,169","4,437",168,561,3,,,,,
41012  Aznalcázar,"1,692","1,404",65,220,2,,,,,
41013  Aznalcóllar,"2,729","2,163",227,338,1,,,,,
20018  Azpeitia,"6,665","5,418",143,"1,100",4,,,,,
06014  Azuaga,"4,791","3,171",937,681,2,,,,,
19046  Azuqueca de Henares,"13,063","12,593",14,444,12,,,,,
06015  Badajoz,"72,067","56,297","5,161","10,589",20,,,,,
08015  Badalona,"92,894","81,793","2,199","8,881",21,,,,,
08904  Badia del Vallès,"5,679","5,277",51,351,0,,,,,
41014  Badolatosa,"1,511","1,186",130,195,0,,,,,
14007  Baena,"9,595","7,430",845,"1,314",6,,,,,
23009  Baeza,"8,620","5,695","1,347","1,570",9,,,,,
08016  Bagà,"1,763",988,552,222,1,,,,,
23010  Bailén,"7,913","6,394",237,"1,280",2,,,,,
36003  Baiona,"8,567","4,120","3,383","1,062",2,,,,,
48012  Bakio,"3,074","1,153","1,581",339,1,,,,,
25040  Balaguer,"8,267","6,304",371,"1,586",5,,,,,
02012  Balazote,"1,242",829,139,272,1,,,,,
08017  Balenyà,"1,692","1,392",109,191,0,,,,,
48090  Balmaseda,"3,729","3,085",73,569,2,,,,,
08018  Balsareny,"1,750","1,374",42,333,1,,,,,
03021  Banyeres de Mariola,"4,103","2,749",664,690,0,,,,,
43020  Banyeres del Penedès,"1,600","1,128",298,174,0,,,,,
17015  Banyoles,"9,609","7,003",362,"2,231",13,,,,,
"15007  Baña, A","1,984","1,213",609,162,0,,,,,
"24010  Bañeza, La","7,200","3,936","1,029","2,229",6,,,,,
23011  Baños de la Encina,"1,771",989,550,232,0,,,,,
48013  Barakaldo,"45,326","41,985",638,"2,692",10,,,,,
27901  Baralla,"1,569",996,407,166,0,,,,,
31901  Barañain,"8,185","7,625",278,282,0,,,,,
32008  Barbadás,"5,422","3,776",648,995,3,,,,,
22048  Barbastro,"9,080","7,050",733,"1,284",12,,,,,
11007  Barbate,"12,880","7,896","2,400","2,578",5,,,,,
08252  Barberà del Vallès,"13,234","12,147",180,906,1,,,,,
06016  Barcarrota,"2,107","1,303",250,554,0,,,,,
08019  Barcelona,"811,521","684,078","38,769","88,259",414,,,,,
39009  Bárcena de Cicero,"3,167","1,605",602,959,1,,,,,
"05021  Barco de Ávila, El","2,498","1,138","1,150",208,2,,,,,
"32009  Barco de Valdeorras, O","9,002","5,718","1,394","1,890",0,,,,,
39011  Bareyo,"1,601",744,743,114,0,,,,,
45019  Bargas,"5,409","3,466",291,"1,651",1,,,,,
38007  Barlovento,"1,245",757,322,166,0,,,,,
"05022  Barraco, El","2,436",814,"1,160",458,3,,,,,
02015  Barrax,"1,017",778,162,77,0,,,,,
27005  Barreiros,"4,736","1,203","2,846",687,0,,,,,
"11008  Barrios, Los","9,888","7,773",979,"1,131",5,,,,,
36002  Barro,"1,580","1,233",133,214,0,,,,,
48015  Basauri,"19,038","17,116",210,"1,709",3,,,,,
43022  Batea,"1,160",765,158,237,0,,,,,
