Censos de Población y Viviendas 2011. Viviendas. Resultados Municipales. Principales resultados,,,,,,,,,,
Nacional,,,,,,,,,,
,,,,,,,,,,
Viviendas por municipios (con más de 2.000 habitantes) y tipo de vivienda,,,,,,,,,,
Unidades: viviendas,,,,,,,,,,
,,,,,,,,,,
 ,1 Total viviendas (2+3),2.1 Total viviendas principales (2.11+2.12),2.21 Viviendas secundarias,2.22 Viviendas vacias,3 Total viviendas colectivas,,,,,
18140  Motril,"35,770","20,910","10,712","4,139",9,,,,,
35013  Moya,"4,499","2,980",651,867,1,,,,,
"50182  Muela, La","3,306","1,996",392,917,1,,,,,
15051  Mugardos,"3,272","2,282",190,800,0,,,,,
30029  Mula,"7,525","5,858",327,"1,338",2,,,,,
02053  Munera,"2,485","1,403",718,362,1,,,,,
48069  Mungia,"7,496","6,290",355,847,4,,,,,
31176  Murchante,"1,760","1,407",72,281,0,,,,,
30030  Murcia,"207,618","156,916","14,611","36,044",47,,,,,
07039  Muro,"4,235","2,722",766,746,1,,,,,
03092  Muro de Alcoy,"4,938","3,435",895,607,1,,,,,
15053  Muros,"5,662","3,387","1,093","1,182",0,,,,,
46177  Museros,"3,175","2,357",184,634,0,,,,,
48071  Muskiz,"3,489","2,926",175,385,3,,,,,
20056  Mutriku,"2,700","1,938",138,621,3,,,,,
03090  Mutxamel,"11,538","8,426","1,363","1,740",9,,,,,
15052  Muxía,"2,951","1,791",637,523,0,,,,,
26102  Nájera,"4,785","3,276",554,950,4,,,,,
45107  Nambroca,"2,500","1,575",407,516,2,,,,,
46178  Náquera,"6,704","2,160","3,291","1,252",1,,,,,
15054  Narón,"20,062","15,491","1,385","3,184",2,,,,,
33040  Nava,"3,324","2,282",571,469,1,,,,,
40138  Nava de la Asunción,"1,814","1,242",326,245,1,,,,,
47101  Nava del Rey,"1,496",847,371,277,1,,,,,
28093  Navacerrada,"2,299","1,105","1,065",127,2,,,,,
10130  Navaconcejo,"1,288",854,77,357,0,,,,,
45109  Navahermosa,"3,191","1,533","1,093",563,2,,,,,
28095  Navalagamella,"1,403",850,386,167,0,,,,,
45110  Navalcán,"2,064",935,680,449,0,,,,,
28096  Navalcarnero,"12,076","8,846",964,"2,255",11,,,,,
10131  Navalmoral de la Mata,"8,595","6,633",955,"1,005",2,,,,,
"45112  Navalmorales, Los","2,044","1,032",799,210,3,,,,,
"45113  Navalucillos, Los","2,545","1,078",932,534,1,,,,,
05163  Navaluenga,"4,317",996,"2,821",499,1,,,,,
06091  Navalvillar de Pela,"2,952","1,864",755,333,0,,,,,
08140  Navarcles,"3,048","2,362",153,532,1,,,,,
46179  Navarrés,"1,945","1,257",251,436,1,,,,,
26105  Navarrete,"1,645","1,105",218,322,0,,,,,
08141  Navàs,"3,301","2,371",154,774,1,,,,,
23063  Navas de San Juan,"2,827","1,804",252,771,0,,,,,
"05168  Navas del Marqués, Las","5,095","1,968","1,812","1,314",1,,,,,
28099  Navas del Rey,"1,737",971,307,458,1,,,,,
33041  Navia,"4,589","3,347",808,434,0,,,,,
15055  Neda,"2,658","2,232",129,297,0,,,,,
15056  Negreira,"3,880","2,601",471,808,0,,,,,
29075  Nerja,"16,420","8,306","5,951","2,137",26,,,,,
21052  Nerva,"2,931","2,236",216,477,2,,,,,
"36034  Neves, As","2,553","1,697",569,287,0,,,,,
21053  Niebla,"1,908","1,518",181,209,0,,,,,
36035  Nigrán,"11,011","6,019","3,246","1,742",4,,,,,
04066  Níjar,"13,305","9,711","1,487","2,106",1,,,,,
31088  Noáin (Valle de Elorz)/Noain (Elortzibar),"3,388","2,853",281,254,0,,,,,
23064  Noalejo,"1,166",815,142,209,0,,,,,
45115  Noblejas,"1,795","1,279",166,349,1,,,,,
32052  Nogueira de Ramuín,"2,600","1,017",976,605,2,,,,,
15057  Noia,"8,306","5,485","1,591","1,227",3,,,,,
39047  Noja,"11,891","1,002","10,814",74,1,,,,,
33042  Noreña,"2,776","2,251",40,481,3,,,,,
03093  Novelda,"13,212","10,003","1,503","1,705",1,,,,,
45118  Novés,"1,852","1,036",391,424,1,,,,,
"03094  Nucia, la","8,774","6,627","1,435",709,4,,,,,
14046  Nueva Carteya,"2,688","2,073",164,451,0,,,,,
28100  Nuevo Baztán,"3,941","2,067","1,507",367,0,,,,,
12082  Nules,"8,861","5,284","2,139","1,435",3,,,,,
45119  Numancia de la Sagra,"2,562","1,719",375,468,0,,,,,
14047  Obejo,"1,035",737,222,76,0,,,,,
45121  Ocaña,"7,160","3,947",330,"2,877",6,,,,,
08143  Òdena,"1,630","1,292",82,256,0,,,,,
18145  Ogíjares,"6,618","4,696",548,"1,372",2,,,,,
36036  Oia,"1,654","1,000",492,162,0,,,,,
20063  Oiartzun,"3,875","3,550",20,304,1,,,,,
29076  Ojén,"1,661","1,421",110,130,0,,,,,
15058  Oleiros,"18,658","13,044","2,913","2,694",7,,,,,
08145  Olèrdola,"1,701","1,300",280,121,0,,,,,
08147  Olesa de Montserrat,"10,318","9,093",283,936,6,,,,,
45122  Olías del Rey,"3,511","2,352",279,879,1,,,,,
31191  Olite/Erriberri,"2,177","1,519",398,257,3,,,,,
46181  Oliva,"19,039","10,676","5,596","2,763",4,,,,,
06093  Oliva de la Frontera,"3,493","2,252",480,760,1,,,,,
"35014  Oliva, La","11,254","9,908",479,866,1,,,,,
41067  Olivares,"4,055","3,069",128,857,1,,,,,
08148  Olivella,"1,969","1,445",426,96,1,,,,,
06095  Olivenza,"5,740","4,242",322,"1,172",4,,,,,
"46183  Olleria, l'","4,014","3,159",132,723,0,,,,,
47104  Olmedo,"2,168","1,439",295,431,3,,,,,
17114  Olot,"16,771","12,810",829,"3,118",14,,,,,
04069  Olula del Río,"3,487","2,384",207,896,0,,,,,
42134  Ólvega,"2,237","1,515",445,277,0,,,,,
11024  Olvera,"4,166","3,087",467,608,3,,,,,
12084  Onda,"13,239","9,537","1,260","2,440",2,,,,,
03095  Ondara,"3,418","2,329",526,562,1,,,,,
48073  Ondarroa,"4,043","3,350",359,327,7,,,,,
03096  Onil,"4,244","3,072",580,589,3,,,,,
45123  Ontígola,"2,341","1,545",504,292,0,,,,,
46184  Ontinyent,"18,041","14,189",628,"3,219",4,,,,,
02056  Ontur,"1,365",904,291,170,0,,,,,
20059  Oñati,"5,215","4,437",261,510,6,,,,,
03097  Orba,"1,649","1,036",344,269,0,,,,,
15059  Ordes,"7,044","4,383",811,"1,849",1,,,,,
20076  Ordizia,"4,320","3,913",152,253,2,,,,,
06097  Orellana la Vieja,"2,116","1,189",628,298,1,,,,,
45124  Orgaz,"1,593","1,022",304,266,1,,,,,
18147  Órgiva,"3,312","2,298",559,454,1,,,,,
04070  Oria,"1,359","1,059",156,144,0,,,,,
03099  Orihuela,"69,492","31,021","27,573","10,892",6,,,,,
20061  Orio,"2,535","1,989",151,395,0,,,,,
31906  Orkoien,"1,494","1,372",0,122,0,,,,,
45125  Oropesa,"2,031","1,141",585,303,2,,,,,
12085  Oropesa del Mar/Orpesa,"20,777","4,366","7,847","8,563",1,,,,,
15060  Oroso,"3,608","2,596",233,777,1,,,,,
"38026  Orotava, La","17,006","14,646",626,"1,729",5,,,,,
48075  Orozko,"1,501",974,30,497,0,,,,,
15061  Ortigueira,"5,359","2,718","1,029","1,606",6,,,,,
48083  Ortuella,"3,837","3,318",282,236,1,,,,,
02057  Ossa de Montiel,"1,825","1,042",561,217,5,,,,,
41068  Osuna,"8,128","6,087",436,"1,597",8,,,,,
18149  Otura,"3,510","2,410",512,587,1,,,,,
32054  Ourense,"67,104","43,805","8,707","14,561",32,,,,,
27039  Outeiro de Rei,"2,588","1,822",531,232,2,,,,,
15062  Outes,"3,826","2,451",570,803,2,,,,,
33044  Oviedo,"123,730","97,821","7,283","18,582",45,,,,,
01043  Oyón-Oion,"1,612","1,246",174,188,4,,,,,
15063  Oza dos Ríos,"2,043","1,319",499,225,0,,,,,
15064  Paderne,"1,166",923,121,122,0,,,,,
32056  Padrenda,"1,565",892,536,137,0,,,,,
15065  Padrón,"4,608","3,130",488,990,0,,,,,
18150  Padul,"4,959","2,995",595,"1,368",1,,,,,
46186  Paiporta,"11,400","9,708",313,"1,378",1,,,,,
35015  Pájara,"10,146","8,761",972,402,11,,,,,
"41069  Palacios y Villafranca, Los","13,975","12,234",285,"1,454",2,,,,,
08155  Palafolls,"4,240","3,438",315,485,2,,,,,
17117  Palafrugell,"17,063","8,349","7,179","1,527",8,,,,,
17118  Palamós,"11,997","7,358","3,841",795,3,,,,,
27040  Palas de Rei,"2,580","1,550",741,289,0,,,,,
"25158  Palau d'Anglesola, El",898,801,36,60,1,,,,,
08156  Palau-solità i Plegamans,"5,799","4,897",379,521,1,,,,,
40155  Palazuelos de Eresma,"2,390","1,731",381,277,1,,,,,
34120  Palencia,"44,610","32,691","4,745","7,137",37,,,,,
"43100  Pallaresos, Els","1,786","1,516",135,135,0,,,,,
08157  Pallejà,"4,801","4,147",332,315,7,,,,,
07040  Palma,"182,244","159,316","6,521","16,349",58,,,,,
"08905  Palma de Cervelló, La","1,288","1,087",88,112,1,,,,,
"21054  Palma del Condado, La","4,693","3,627",162,901,3,,,,,
14049  Palma del Río,"9,446","7,721",719,"1,004",2,,,,,
"35016  Palmas de Gran Canaria, Las","182,930","144,987","8,299","29,604",40,,,,,
41070  Palomares del Río,"3,051","2,597",187,265,1,,,,,
21055  Palos de la Frontera,"4,104","3,206",498,399,1,,,,,
17124  Pals,"4,058","1,043","2,632",383,0,,,,,
31201  Pamplona/Iruña,"90,228","78,924","3,454","7,799",50,,,,,
45128  Pantoja,"1,600","1,158",107,334,1,,,,,
27041  Pantón,"1,676","1,215",261,199,1,,,,,
"08158  Papiol, El","1,828","1,470",155,203,0,,,,,
28104  Paracuellos de Jarama,"7,245","6,976",25,243,1,,,,,
41071  Paradas,"3,309","2,651",213,444,1,,,,,
27042  Paradela,"1,093",652,221,220,0,,,,,
34123  Paredes de Nava,"1,419",776,302,336,4,,,,,
08159  Parets del Vallès,"7,549","6,888",244,417,0,,,,,
28106  Parla,"47,097","43,712",576,"2,805",4,,,,,
33045  Parres,"3,889","2,501",712,675,1,,,,,
20064  Pasaia,"7,520","6,398",65,"1,056",1,,,,,
"38027  Paso, El","3,637","2,822",399,414,2,,,,,
"27044  Pastoriza, A","1,613","1,085",314,213,1,,,,,
46190  Paterna,"34,122","25,730","2,803","5,583",7,,,,,
11025  Paterna de Rivera,"2,624","2,046",182,396,0,,,,,
21056  Paterna del Campo,"1,687","1,362",151,174,0,,,,,
36037  Pazos de Borbén,"1,406","1,019",199,188,0,,,,,
23066  Peal de Becerro,"2,938","2,164",267,507,0,,,,,
04074  Pechina,"1,928","1,296",206,425,1,,,,,
47112  Pedrajas de San Esteban,"1,700","1,359",189,151,1,,,,,
46191  Pedralba,"2,418","1,131",723,564,0,,,,,
03101  Pedreguer,"6,408","3,032","2,542",833,1,,,,,
41072  Pedrera,"2,232","1,829",133,270,0,,,,,
28108  Pedrezuela,"3,041","1,959",511,569,2,,,,,
14050  Pedro Abad,"1,528","1,097",337,93,1,,,,,
13061  Pedro Muñoz,"4,233","3,072",368,792,1,,,,,
50204  Pedrola,"1,713","1,444",110,158,1,,,,,
"16154  Pedroñeras, Las","3,353","2,511",179,661,1,,,,,
"41073  Pedroso, El","1,378",831,263,284,0,,,,,
23067  Pegalajar,"1,868","1,198",520,150,0,,,,,
03102  Pego,"6,128","4,144",645,"1,338",1,,,,,
28109  Pelayos de la Presa,"2,979",955,"1,111",909,3,,,,,
18153  Peligros,"4,521","3,909",283,327,1,,,,,
12089  Peníscola/Peñíscola,"16,810","3,244","8,396","5,162",8,,,,,
47114  Peñafiel,"3,065","2,013",701,347,4,,,,,
41074  Peñaflor,"1,798","1,440",63,295,0,,,,,
37246  Peñaranda de Bracamonte,"4,110","2,601",612,896,1,,,,,
14052  Peñarroya-Pueblonuevo,"6,265","4,109",716,"1,438",2,,,,,
45132  Pepino,"1,504",853,444,204,3,,,,,
28110  Perales de Tajuña,"1,579","1,007",313,259,0,,,,,
31202  Peralta/Azkoien,"2,712","2,240",158,313,1,,,,,
"32058  Pereiro de Aguiar, O","4,170","2,306","1,063",797,4,,,,,
"43104  Perelló, El","1,729","1,271",82,376,0,,,,,
29079  Periana,"2,171","1,371",609,188,3,,,,,
"32059  Peroxa, A","1,822",752,535,531,4,,,,,
07041  Petra,"1,553","1,129",10,414,0,,,,,
03104  Petrer,"16,440","13,198","1,541","1,700",1,,,,,
46193  Picanya,"5,055","4,131",199,720,5,,,,,
46194  Picassent,"10,597","7,822","1,310","1,462",3,,,,,
13063  Piedrabuena,"2,678","1,581",652,443,2,,,,,
05186  Piedrahíta,"1,954",833,743,376,2,,,,,
05187  Piedralaves,"2,803",952,"1,416",434,1,,,,,
39052  Piélagos,"11,823","8,698","1,105","2,014",6,,,,,
08161  Piera,"10,134","5,368","3,187","1,569",9,,,,,
03902  Pilar de la Horadada,"22,662","8,374","8,068","6,218",2,,,,,
41075  Pilas,"5,987","4,870",422,692,3,,,,,
46195  Piles,"3,280","1,154","1,623",503,0,,,,,
33049  Piloña,"4,785","3,315",794,670,5,,,,,
50208  Pina de Ebro,"1,266","1,038",49,179,0,,,,,
08163  Pineda de Mar,"16,360","10,390","4,541","1,424",5,,,,,
"15066  Pino, O","2,799","1,654",552,588,5,,,,,
18158  Pinos Puente,"6,184","4,818",627,738,1,,,,,
"03105  Pinós, el/Pinoso","4,338","2,872",844,622,0,,,,,
50209  Pinseque,"2,125","1,372",300,449,4,,,,,
28113  Pinto,"19,698","17,401",867,"1,427",2,,,,,
19220  Pioz,"2,369","1,429",103,837,0,,,,,
29080  Pizarra,"3,703","3,206",183,313,1,,,,,
"43108  Pla de Santa Maria, El","1,356",928,260,168,0,,,,,
10148  Plasencia,"22,433","15,671","1,839","4,908",15,,,,,
48077  Plentzia,"2,767","1,689",654,424,0,,,,,
30032  Pliego,"2,294","1,534",344,416,0,,,,,
"08165  Pobla de Claramunt, La","1,104",816,10,278,0,,,,,
"46199  Pobla de Farnals, la","7,963","3,192","4,015",756,0,,,,,
"43109  Pobla de Mafumet, La","1,283","1,050",38,195,0,,,,,
"43111  Pobla de Montornès, La","1,636","1,184",290,162,0,,,,,
"25171  Pobla de Segur, La","2,190","1,387",522,278,4,,,,,
"46202  Pobla de Vallbona, la","11,048","8,206","1,611","1,225",6,,,,,
"46200  Pobla del Duc, la","1,399",930,191,278,0,,,,,
"46203  Pobla Llarga, la","2,276","1,788",86,402,0,,,,,
"07044  Pobla, Sa","6,018","4,603",353,"1,061",1,,,,,
13064  Poblete,"1,263",797,121,345,0,,,,,
"03901  Poblets, els","2,874","1,513",963,398,0,,,,,
"32063  Pobra de Trives, A","2,419",973,980,465,1,,,,,
"15067  Pobra do Caramiñal, A","5,503","3,569",611,"1,319",3,,,,,
36041  Poio,"9,381","6,007","1,427","1,946",1,,,,,
"24114  Pola de Gordón, La","3,323","1,534",859,929,1,,,,,
45133  Polán,"1,949","1,377",348,224,0,,,,,
39054  Polanco,"2,928","2,078",155,693,2,,,,,
08167  Polinyà,"3,213","3,002",0,210,1,,,,,
46197  Polinyà de Xúquer,"1,375",986,61,327,1,,,,,
07042  Pollença,"12,305","6,251","4,130","1,920",3,,,,,
03107  Polop,"2,786","1,772",478,535,1,,,,,
24115  Ponferrada,"37,701","28,307","3,643","5,742",10,,,,,
"25173  Pont de Suert, El","1,731","1,056",375,292,8,,,,,
"08182  Pont de Vilomara i Rocafort, El","1,899","1,381",269,249,0,,,,,
36043  Ponte Caldelas,"2,595","1,912",399,284,0,,,,,
36042  Ponteareas,"12,358","8,428","1,640","2,288",2,,,,,
15068  Ponteceso,"3,446","2,311",500,635,0,,,,,
36044  Pontecesures,"1,623","1,057",116,450,0,,,,,
15069  Pontedeume,"5,083","3,110","1,119",851,3,,,,,
"27048  Pontenova, A","1,795","1,048",383,364,0,,,,,
"15070  Pontes de García Rodríguez, As","6,089","4,282",977,829,1,,,,,
36038  Pontevedra,"39,568","30,946","1,726","6,886",10,,,,,
25172  Ponts,"1,843","1,055",143,642,3,,,,,
23069  Porcuna,"3,766","2,702",451,612,1,,,,,
17137  Porqueres,"1,655","1,561",42,52,0,,,,,
07043  Porreres,"2,567","2,141",78,347,1,,,,,
"36039  Porriño, O","8,372","6,385",550,"1,435",2,,,,,
36040  Portas,"1,265",960,145,160,0,,,,,
47122  Portillo,"1,471","1,014",187,269,1,,,,,
45134  Portillo de Toledo,"1,167",790,73,303,1,,,,,
15071  Porto do Son,"6,421","3,338","1,858","1,220",5,,,,,
48078  Portugalete,"21,508","19,827",286,"1,386",9,,,,,
13065  Porzuna,"2,772","1,538",995,238,1,,,,,
14053  Posadas,"3,645","2,884",408,352,1,,,,,
23070  Pozo Alcón,"2,875","2,089",261,524,1,,,,,
02901  Pozo Cañada,"1,308","1,036",72,200,0,,,,,
14054  Pozoblanco,"9,361","6,564",890,"1,902",5,,,,,
28115  Pozuelo de Alarcón,"29,876","26,769","1,654","1,417",35,,,,,
13066  Pozuelo de Calatrava,"1,786","1,213",172,397,4,,,,,
26117  Pradejón,"1,617","1,367",164,86,0,,,,,
11026  Prado del Rey,"2,899","2,299",204,396,0,,,,,
"08169  Prat de Llobregat, El","27,087","24,253",531,"2,297",6,,,,,
08171  Prats de Lluçanès,"1,373",972,173,227,1,,,,,
33051  Pravia,"5,537","3,547","1,193",792,6,,,,,
08230  Premià de Dalt,"4,162","3,755",204,203,0,,,,,
08172  Premià de Mar,"13,091","10,891","1,132","1,065",3,,,,,
14055  Priego de Córdoba,"12,547","9,064","1,518","1,960",5,,,,,
"16171  Provencio, El","1,664","1,094",150,417,3,,,,,
41076  Pruna,"1,650","1,091",310,249,0,,,,,
46205  Puçol,"9,101","7,222",254,"1,623",2,,,,,
"50219  Puebla de Alfindén, La","2,646","2,049",43,553,1,,,,,
"45135  Puebla de Almoradiel, La","2,887","2,040",176,671,0,,,,,
"41077  Puebla de Cazalla, La","5,502","3,910",157,"1,433",2,,,,,
18164  Puebla de Don Fadrique,"1,986",977,475,534,0,,,,,
21058  Puebla de Guzmán,"1,610","1,162",244,204,0,,,,,
06103  Puebla de la Calzada,"2,761","2,226",201,334,0,,,,,
"41078  Puebla de los Infantes, La","1,837","1,208",162,466,1,,,,,
"45136  Puebla de Montalbán, La","4,089","2,894",353,838,3,,,,,
06108  Puebla de Sancho Pérez,"1,582","1,021",277,284,0,,,,,
"41079  Puebla del Río, La","5,026","4,304",138,584,0,,,,,
"45137  Pueblanueva, La","1,600",831,593,176,0,,,,,
06902  Pueblonuevo del Guadiana,974,777,53,144,0,,,,,
23071  Puente de Génave,"1,356",865,331,160,0,,,,,
14056  Puente Genil,"14,705","10,816","1,141","2,745",3,,,,,
31206  Puente la Reina/Gares,"1,585","1,081",56,447,1,,,,,
39056  Puente Viesgo,"1,180","1,115",35,29,1,,,,,
"23072  Puerta de Segura, La","1,811","1,003",397,408,2,,,,,
38028  Puerto de la Cruz,"22,344","13,297","5,363","3,677",7,,,,,
"11027  Puerto de Santa María, El","47,540","31,409","11,700","4,409",22,,,,,
35017  Puerto del Rosario,"18,139","13,653",541,"3,941",4,,,,,
30033  Puerto Lumbreras,"7,722","5,114",289,"2,319",0,,,,,
11028  Puerto Real,"17,767","15,078","1,440","1,243",6,,,,,
11029  Puerto Serrano,"3,052","2,592",153,306,1,,,,,
13071  Puertollano,"25,866","20,495","1,364","4,003",4,,,,,
46204  Puig,"6,740","3,563","2,778",395,4,,,,,
17141  Puigcerdà,"5,959","3,296","1,803",859,1,,,,,
08175  Puig-reig,"2,423","1,678",104,639,2,,,,,
18165  Pulianas,"2,280","1,845",83,352,0,,,,,
04075  Pulpí,"6,327","3,152","2,995",179,1,,,,,
21060  Punta Umbría,"16,451","5,280","10,852",318,1,,,,,
38030  Puntallana,"1,327",902,283,142,0,,,,,
18167  Purullena,"1,299",816,366,117,0,,,,,
17142  Quart,"1,299","1,197",24,78,0,,,,,
46102  Quart de Poblet,"12,224","9,944",465,"1,813",2,,,,,
46104  Quatretonda,"1,101",974,78,48,1,,,,,
26120  Quel,"1,323",861,180,281,1,,,,,
23073  Quesada,"3,456","2,391",291,773,1,,,,,
28119  Quijorna,"1,603","1,172",327,104,0,,,,,
06109  Quintana de la Serena,"3,268","1,772",912,584,0,,,,,
45142  Quintanar de la Orden,"6,046","4,250",538,"1,254",4,,,,,
16175  Quintanar del Rey,"3,457","2,572",218,666,1,,,,,
50222  Quinto,"1,040",794,103,140,4,,,,,
27050  Quiroga,"3,033","1,485","1,063",484,1,,,,,
03109  Rafal,"1,893","1,560",34,299,0,,,,,
46207  Rafelbuñol/Rafelbunyol,"4,303","3,394",173,735,1,,,,,
46209  Rafelguaraf,"1,244",916,146,182,0,,,,,
39057  Ramales de la Victoria,"2,899","1,186","1,145",568,0,,,,,
"14057  Rambla, La","3,651","2,776",268,605,2,,,,,
46212  Real,"1,414",894,349,171,0,,,,,
46211  Real de Gandía,"1,060",874,64,122,0,,,,,
40181  Real Sitio de San Ildefonso,"4,131","2,241","1,176",710,4,,,,,
"38031  Realejos, Los","16,735","13,346","1,941","1,448",0,,,,,
45145  Recas,"2,400","1,568",159,670,2,,,,,
36045  Redondela,"14,046","10,921","1,227","1,896",2,,,,,
03111  Redován,"3,396","2,671",220,504,1,,,,,
39059  Reinosa,"5,725","4,164",636,922,3,,,,,
47133  Renedo de Esgueva,"1,415","1,166",83,165,1,,,,,
39060  Reocín,"3,920","3,120",208,590,2,,,,,
46213  Requena,"13,299","8,031","3,233","2,031",4,,,,,
43123  Reus,"49,893","40,586","2,793","6,488",27,,,,,
15072  Rianxo,"5,532","3,841",756,935,0,,,,,
40170  Riaza,"2,737",964,"1,575",196,2,,,,,
32069  Ribadavia,"3,947","2,104",874,967,2,,,,,
27051  Ribadeo,"6,501","4,091","1,087","1,316",7,,,,,
33056  Ribadesella,"5,620","2,697","2,466",452,5,,,,,
36046  Ribadumia,"2,138","1,746",168,223,1,,,,,
31208  Ribaforada,"1,538","1,339",92,107,0,,,,,
39061  Ribamontán al Mar,"4,764","1,811","2,118",834,1,,,,,
39062  Ribamontán al Monte,"1,109",777,176,153,3,,,,,
46214  Riba-roja de Túria,"10,595","7,729","1,673","1,190",3,,,,,
15073  Ribeira,"16,251","9,476","3,013","3,760",2,,,,,
06113  Ribera del Fresno,"1,860","1,299",227,332,2,,,,,
50225  Ricla,"1,379","1,133",85,160,1,,,,,
17146  Riells i Viabrea,"2,306","1,458",672,176,0,,,,,
29082  Rincón de la Victoria,"25,452","15,037","6,367","4,043",5,,,,,
26125  Rincón de Soto,"1,905","1,436",163,306,0,,,,,
"41081  Rinconada, La","15,131","13,016",713,"1,400",2,,,,,
29083  Riogordo,"1,608","1,150",360,96,2,,,,,
33058  Riosa,"1,240",934,141,165,0,,,,,
17147  Ripoll,"5,929","4,479",221,"1,223",6,,,,,
08180  Ripollet,"15,053","14,033",86,930,3,,,,,
17148  Riudarenes,"1,211",767,341,103,0,,,,,
17150  Riudellots de la Selva,807,696,90,21,0,,,,,
43129  Riudoms,"2,891","2,383",193,313,2,,,,,
28123  Rivas-Vaciamadrid,"25,376","24,663",221,490,2,,,,,
09321  Roa,"1,525",996,236,292,1,,,,,
"24134  Robla, La","3,006","1,815",265,926,0,,,,,
28125  Robledo de Chavela,"3,426","1,459","1,751",213,3,,,,,
"08181  Roca del Vallès, La","4,207","3,622",136,442,7,,,,,
46216  Rocafort,"2,988","2,347",254,386,1,,,,,
21061  Rociana del Condado,"3,138","2,605",98,435,0,,,,,
"41082  Roda de Andalucía, La","2,064","1,610",59,394,1,,,,,
43131  Roda de Barà,"8,493","2,482","5,100",909,2,,,,,
08183  Roda de Ter,"2,570","2,266",65,238,1,,,,,
"02069  Roda, La","8,174","5,994",867,"1,310",3,,,,,
36047  Rodeiro,"1,541",935,307,299,0,,,,,
15074  Rois,"1,858","1,532",184,142,0,,,,,
03113  Rojales,"14,263","8,646","2,198","3,418",1,,,,,
"03114  Romana, la","1,817","1,053",420,344,0,,,,,
29084  Ronda,"19,435","13,594","3,008","2,823",9,,,,,
04079  Roquetas de Mar,"57,290","31,485","11,737","14,064",4,,,,,
43133  Roquetes,"3,612","3,050",226,336,0,,,,,
"36048  Rosal, O","3,503","2,371",445,686,1,,,,,
"38032  Rosario, El","7,772","6,028",780,963,1,,,,,
17152  Roses,"25,714","7,849","15,363","2,500",2,,,,,
25189  Rosselló,"1,465","1,211",50,203,1,,,,,
11030  Rota,"26,035","10,577","13,245","2,208",5,,,,,
"28127  Rozas de Madrid, Las","35,403","29,873","1,855","3,660",15,,,,,
"32072  Rúa, A","3,355","1,881",534,938,2,,,,,
08184  Rubí,"33,046","28,114","1,751","3,174",7,,,,,
"41084  Rubio, El","1,669","1,311",93,265,0,,,,,
23074  Rus,"1,812","1,308",80,423,1,,,,,
14058  Rute,"5,665","4,042",575,"1,045",3,,,,,
08187  Sabadell,"93,237","81,596","1,423","10,184",34,,,,,
22199  Sabiñánigo,"7,079","4,076","1,511","1,482",10,,,,,
23075  Sabiote,"2,496","1,573",459,464,0,,,,,
15075  Sada,"9,805","5,748","1,390","2,665",2,,,,,
46220  Sagunto/Sagunt,"40,822","27,191","5,138","8,485",8,,,,,
24139  Sahagún,"2,345","1,091","1,039",211,4,,,,,
37274  Salamanca,"92,491","64,588","14,907","12,954",42,,,,,
18171  Salar,"1,253","1,089",72,92,0,,,,,
33059  Salas,"4,680","2,416","1,213","1,046",6,,,,,
09330  Salas de los Infantes,"1,388",897,232,255,4,,,,,
36049  Salceda de Caselas,"4,492","3,310",339,841,2,,,,,
34157  Saldaña,"2,478","1,203",929,343,3,,,,,
"07059  Salines, Ses","2,939","2,101",798,34,6,,,,,
08191  Sallent,"3,844","2,718",280,843,2,,,,,
18173  Salobreña,"10,473","4,663","4,705","1,104",2,,,,,
43905  Salou,"31,267","10,793","17,454","3,019",1,,,,,
17155  Salt,"11,242","10,276",134,827,4,,,,,
41085  Salteras,"2,266","1,803",39,422,2,,,,,
36050  Salvaterra de Miño,"5,737","3,809",971,956,1,,,,,
01051  Salvatierra/Agurain,"2,516","2,135",144,235,2,,,,,
31215  San Adrián,"2,811","2,370",63,377,1,,,,,
28129  San Agustín del Guadalix,"4,658","4,186",155,316,1,,,,,
24142  San Andrés del Rabanedo,"17,553","12,768","1,440","3,338",7,,,,,
38033  San Andrés y Sauces,"2,353","1,789",274,289,1,,,,,
46903  San Antonio de Benagéber,"3,677","2,507",282,885,3,,,,,
35018  San Bartolomé,"8,292","6,879",757,655,1,,,,,
21063  San Bartolomé de la Torre,"1,703","1,319",246,138,0,,,,,
35019  San Bartolomé de Tirajana,"28,140","21,203","4,943","1,979",15,,,,,
32075  San Cibrao das Viñas,"3,413","1,864",494,"1,055",0,,,,,
16190  San Clemente,"3,748","2,685",466,593,4,,,,,
38023  San Cristóbal de La Laguna,"71,233","57,555","4,045","9,621",13,,,,,
40906  San Cristóbal de Segovia,"1,376","1,034",153,189,0,,,,,
32076  San Cristovo de Cea,"1,956",934,464,556,2,,,,,
42162  San Esteban de Gormaz,"2,919","1,198","1,187",533,1,,,,,
39069  San Felices de Buelna,993,965,14,14,0,,,,,
11031  San Fernando,"41,527","33,921","2,349","5,245",12,,,,,
28130  San Fernando de Henares,"15,306","14,596",271,437,2,,,,,
03118  San Fulgencio,"8,661","4,486","1,633","2,542",0,,,,,
30035  San Javier,"39,560","11,080","23,365","5,109",6,,,,,
11902  San José del Valle,"2,580","1,705",405,470,0,,,,,
41086  San Juan de Aznalfarache,"10,505","8,222",446,"1,836",1,,,,,
38034  San Juan de la Rambla,"2,063","1,673",186,204,0,,,,,
21064  San Juan del Puerto,"3,706","3,023",124,558,1,,,,,
