,COD Ciudad,Renta neta media por persona 2020,COD,CIUDAD
3751,2807921023 Madrid sección 21023,12000,2807921023, Madrid sección 
3752,2807921025 Madrid sección 21025,24271,2807921025, Madrid sección 
3753,2807921026 Madrid sección 21026,17551,2807921026, Madrid sección 
3754,2807921027 Madrid sección 21027,24821,2807921027, Madrid sección 
3755,2807921028 Madrid sección 21028,19935,2807921028, Madrid sección 
3756,2807921029 Madrid sección 21029,30307,2807921029, Madrid sección 
3757,2807921030 Madrid sección 21030,16919,2807921030, Madrid sección 
3758,2807921031 Madrid sección 21031,17745,2807921031, Madrid sección 
3759,2807921032 Madrid sección 21032,22584,2807921032, Madrid sección 
3760,2807921033 Madrid sección 21033,17134,2807921033, Madrid sección 
3871,28092 Móstoles,12064,28092, Móstoles
3872,2809201 Móstoles distrito 01,12002,2809201, Móstoles distrito 
3873,2809201001 Móstoles sección 01001,10093,2809201001, Móstoles sección 
3874,2809201002 Móstoles sección 01002,10116,2809201002, Móstoles sección 
3875,2809201003 Móstoles sección 01003,10523,2809201003, Móstoles sección 
3876,2809201004 Móstoles sección 01004,10907,2809201004, Móstoles sección 
3877,2809201005 Móstoles sección 01005,9624,2809201005, Móstoles sección 
3878,2809201006 Móstoles sección 01006,10553,2809201006, Móstoles sección 
3879,2809201007 Móstoles sección 01007,10784,2809201007, Móstoles sección 
3880,2809201008 Móstoles sección 01008,10413,2809201008, Móstoles sección 
3881,2809201009 Móstoles sección 01009,12505,2809201009, Móstoles sección 
3882,2809201010 Móstoles sección 01010,12208,2809201010, Móstoles sección 
3883,2809201011 Móstoles sección 01011,12194,2809201011, Móstoles sección 
3884,2809201012 Móstoles sección 01012,11109,2809201012, Móstoles sección 
3885,2809201013 Móstoles sección 01013,11845,2809201013, Móstoles sección 
3886,2809201014 Móstoles sección 01014,12025,2809201014, Móstoles sección 
3887,2809201015 Móstoles sección 01015,11696,2809201015, Móstoles sección 
3888,2809201016 Móstoles sección 01016,11847,2809201016, Móstoles sección 
